HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
00QDR-043,2536139.51,6713017.55,2459,252,Potenciales
00QDR-044,2536141.09,6713013.56,2459,244,Potenciales
00QDR-045,2535985.41,6713122.21,2420,228.3,Potenciales
00QDR-046,2536045.78,6713134.21,2427.5,270,Potenciales
00QDR-047,2535864.24,6713049.71,2448.26,310,Potenciales
00QDR-048,2535863,6713056.4,2447.95,350,Potenciales
00QDR-049,2535971.27,6713040.63,2480,340,Potenciales
00QDR-050,2536065.84,6713017.26,2491,310,Potenciales
00QDR-051,2536125.26,6712906.02,2511,226,Potenciales
00QDR-052,2535949.22,6712948.55,2545,354,Potenciales
00QDR-053,2536506.8,6712767.45,2589.38,188,Potenciales
00QDR-054,2534235.94,6713417.9,2470.5,54,Potenciales
00QDR-055,2534684.19,6713924.64,2112.9,196,Potenciales
00QDR-056,2534685.55,6713918.1,2112.9,115,Potenciales
00QDR-057,2535399.18,6713257.2,2146.24,250,Potenciales
00QDR-058,2535114.89,6713422.26,2054,100,Potenciales
04QD-106,2535647.51,6713105.66,2135,124.75,Potenciales
04QD-107,2535646.66,6713104.6,2138.36,119.8,Potenciales
04QD-108,2535654.83,6713105.6,2134.5,240.7,Potenciales
04QD-109,2535656.36,6713107.35,2134.5,227.35,Potenciales
04QDR-059,2535540.08,6713608.76,1985.75,250,Potenciales
04QDR-060,2535538.19,6713612.92,1985.75,245.5,Potenciales
04QDR-061,2535536.69,6713613.76,1985.75,216,Potenciales
04QDR-062,2534167.69,6714163.6,2102.5,174,Potenciales
04QDR-063,2534165.44,6714162.79,2102.5,258,Potenciales
04QDR-064,2534165.5,6714164.35,2102.5,180,Potenciales
04QDR-065,2534709.32,6713847.42,2111.99,200,Potenciales
04QDR-066,2535862.66,6713053.06,2448,372,Potenciales
04QDR-067,2535861.61,6713053.01,2447.99,245,Potenciales
04QDR-068,2535862.12,6713053.27,2447.98,402,Potenciales
04QDR-069,2535864.39,6713057.32,2447.94,452,Potenciales
04QDR-070,2535943.55,6713067.09,2462.1,404,Potenciales
04QDR-071,2536093.57,6713057.99,2465.82,302,Potenciales
04QDR-072,2536001.2,6713103.72,2436.5,212,Potenciales
04QDR-073,2535998.96,6713108.76,2436.5,310,Potenciales
04QDR-074,2535999.08,6713110.6,2436.5,350,Potenciales
04QDR-075,2536046.13,6713141.64,2427.5,300,Potenciales
04QDR-076,2536046.18,6713133.3,2427.5,271,Potenciales
04QDR-077,2535972.72,6713134.58,2420,319,Potenciales
04QDR-078,2536047.12,6713141.32,2427.5,300,Potenciales
04QDR-079,2533843.41,6713761.53,2354.54,274,Potenciales
04QDR-080,2533844.11,6713759.84,2354.48,276,Potenciales
04QDR-081,2533806.55,6713724.51,2355.3,306,Potenciales
04QDR-082,2533802.85,6713719.25,2355.28,270,Potenciales
04QDR-083,2534289.2,6713566.68,2388.7,206,Potenciales
04QDR-084,2534295.36,6713573.7,2388.37,230,Potenciales
04QDR-085,2534698.34,6713857.62,2111.99,200,Potenciales
04QDR-086,2534697.59,6713898.38,2113.02,150,Potenciales
04QDR-087,2534687.23,6713950.76,2110,198,Potenciales
04QDR-088,2534682.1,6713955.94,2109.83,199,Potenciales
04QDR-089,2534207.6,6714082.05,2105.06,295,Potenciales
04QDR-090,2534265.79,6714258.44,1973.65,300,Potenciales
04QDR-091,2534065.88,6714229.3,1997.04,253,Potenciales
04QDR-092,2535944.33,6713061.42,2462.1,306,Potenciales
04QDR-093,2536087.12,6713053.86,2466.18,240,Potenciales
04QDR-094,2536044.03,6713086.45,2457.75,180,Potenciales
04QDR-095,2535901.66,6713013.3,2481,348,Potenciales
04QDR-096,2533845.93,6713753.62,2354.74,240,Potenciales
